name,description,url,downloads,owners,owners_urls
pyshp,Pure Python read/write support for ESRI Shapefile format,https://pypi.org/project/pyshp/,242624,jlawhead,https://pypi.org/user/jlawhead/
dash-renderer,Front-end component renderer for Dash,https://pypi.org/project/dash-renderer/,240897,"alexcjohnson,bronsolo,cparmer","https://pypi.org/user/alexcjohnson/,https://pypi.org/user/bronsolo/,https://pypi.org/user/cparmer/"
tensorflowonspark,Deep learning with TensorFlow on Apache Spark clusters,https://pypi.org/project/tensorflowonspark/,240601,leewyang,https://pypi.org/user/leewyang/
pyDOE,Design of experiments for Python,https://pypi.org/project/pyDOE/,240182,tisimst.myopenid.com,https://pypi.org/user/tisimst.myopenid.com/
pyspark-stubs,A collection of the Apache Spark stub files,https://pypi.org/project/pyspark-stubs/,238687,zero323,https://pypi.org/user/zero323/
linear-tsv,"Line-oriented, tab-separated value format",https://pypi.org/project/linear-tsv/,240019,solidsnack,https://pypi.org/user/solidsnack/
prsaw,"PRSAW, an acronym for `Python Random Stuff API Wrapper`, is a wrapper for the Random Stuff API.",https://pypi.org/project/prsaw/,238564,Swas.py,https://pypi.org/user/Swas.py/
aws-cdk.aws-route53,The CDK Construct Library for AWS::Route53,https://pypi.org/project/aws-cdk.aws-route53/,244021,"aws-cdk,osa-amazon","https://pypi.org/user/aws-cdk/,https://pypi.org/user/osa-amazon/"
requests-kerberos,A Kerberos authentication handler for python-requests,https://pypi.org/project/requests-kerberos/,237949,"geofft,graffatcolmingov,jborean93,Lukasa,nitzmahone,tuxtimo","https://pypi.org/user/geofft/,https://pypi.org/user/graffatcolmingov/,https://pypi.org/user/jborean93/,https://pypi.org/user/Lukasa/,https://pypi.org/user/nitzmahone/,https://pypi.org/user/tuxtimo/"
ptvsd,Remote debugging server for Python support in Visual Studio and Visual Studio Code,https://pypi.org/project/ptvsd/,238989,"int19h,kanadig,microsoft,pymsft,Steve.Dower","https://pypi.org/user/int19h/,https://pypi.org/user/kanadig/,https://pypi.org/user/microsoft/,https://pypi.org/user/pymsft/,https://pypi.org/user/Steve.Dower/"
cufflinks,Productivity Tools for Plotly + Pandas,https://pypi.org/project/cufflinks/,238945,jorgesantos,https://pypi.org/user/jorgesantos/
flake8-debugger,ipdb/pdb statement checker plugin for flake8,https://pypi.org/project/flake8-debugger/,238490,jbkahn,https://pypi.org/user/jbkahn/
opencensus-ext-zipkin,OpenCensus Zipkin Trace Exporter,https://pypi.org/project/opencensus-ext-zipkin/,238371,"cnk,google_opensource,LeightonC,reyang","https://pypi.org/user/cnk/,https://pypi.org/user/google_opensource/,https://pypi.org/user/LeightonC/,https://pypi.org/user/reyang/"
instant-api-client,"Create API wrappers/clients in minutes, enjoying both blocking and async interfaces from one codebase!",https://pypi.org/project/instant-api-client/,238304,FalseDev,https://pypi.org/user/FalseDev/
